city,cloud,country,date,humidity,lat,lng,maxtemp,windspeed
Puerto Ayora,40,EC,4/23/2020,55,-0.74,-90.35,89.6,19.46
Avarua,60,CK,4/23/2020,69,-21.21,-159.78,82.4,10.29
Mataura,70,NZ,4/23/2020,88,-46.19,168.86,50,5.01
Caborca,0,MX,4/23/2020,18,30.58,-111.1,93,4
Rikitea,100,PF,4/23/2020,70,-23.12,-134.97,76.62,10.04
Charters Towers,0,AU,4/23/2020,77,-20.1,146.27,63.61,4.63
Saint-Philippe,66,RE,4/23/2020,83,-21.36,55.77,73.4,6.93
Port Lincoln,72,AU,4/23/2020,84,-34.73,135.87,60.93,9.6
Tuktoyaktuk,75,CA,4/23/2020,83,69.45,-133.04,-4,5.82
Ponta do Sol,40,PT,4/23/2020,59,32.67,-17.1,62.6,4.7
Ushuaia,40,AR,4/23/2020,74,-54.8,-68.3,37.4,19.46
Port-Cartier,75,CA,4/23/2020,44,50.03,-66.87,39.99,12.75
Oddur,100,SO,4/23/2020,75,4.12,43.89,72.14,6.69
Punta Arenas,20,CL,4/23/2020,56,-53.15,-70.92,44.6,13.87
Vaini,75,TO,4/23/2020,88,-21.2,-175.2,80.6,4.7
Bambous Virieux,75,MU,4/23/2020,100,-20.34,57.76,75.99,3.36
Souillac,75,MU,4/23/2020,100,-20.52,57.52,75.2,3.36
Owando,79,CG,4/23/2020,64,-0.48,15.9,78.31,0.92
Tasiilaq,37,GL,4/23/2020,80,65.61,-37.64,35.6,2.24
Swan River,81,CA,4/23/2020,64,52.11,-101.27,48.7,8.16
Qaanaaq,96,GL,4/23/2020,90,77.48,-69.36,17.91,1.3
Yar-Sale,58,RU,4/23/2020,94,66.83,70.83,18.84,10.02
Umeå,90,SE,4/23/2020,93,63.83,20.26,32,3.36
Torbay,20,CA,4/23/2020,48,47.67,-52.73,43,21.92
Jutaí,59,BR,4/23/2020,64,-5.18,-68.9,86.14,2.44
Hilo,75,US,4/23/2020,61,19.73,-155.09,78.8,3.36
Gräfenhainichen,33,DE,4/23/2020,43,51.73,12.45,55.4,11.41
Kapaa,75,US,4/23/2020,74,22.08,-159.32,78.8,17.22
Katsuura,20,JP,4/23/2020,81,35.13,140.3,46.4,1.12
Mandalgovi,22,MN,4/23/2020,30,45.76,106.27,43.75,8.93
Mwinilunga,28,ZM,4/23/2020,50,-11.74,24.43,58.86,1.79
Estevan,75,CA,4/23/2020,35,49.13,-102.98,57.2,20.8
Butaritari,100,KI,4/23/2020,80,3.07,172.79,82.58,22.57
Hong Kong,40,HK,4/23/2020,88,22.29,114.16,64.99,4.7
Huicheng,90,CN,4/23/2020,82,23.04,116.29,64.4,2.24
Solnechnyy,99,RU,4/23/2020,94,50.72,136.63,26.78,4.9
Iqaluit,90,CA,4/23/2020,86,63.75,-68.51,32,21.92
Faanui,43,PF,4/23/2020,79,-16.48,-151.75,81,14.97
Dikson,97,RU,4/23/2020,97,73.51,80.55,18.18,12.64
Khatanga,100,RU,4/23/2020,98,71.97,102.5,30.29,3.38
Bredasdorp,62,ZA,4/23/2020,87,-34.53,20.04,60.8,2.24
Hermanus,25,ZA,4/23/2020,82,-34.42,19.23,60.49,10.96
Yellowknife,90,CA,4/23/2020,62,62.46,-114.35,24.8,10.29
Carnarvon,100,AU,4/23/2020,70,-24.87,113.63,73.4,26.64
Vanimo,0,PG,4/23/2020,80,-2.67,141.3,78.93,5.19
Qaqortoq,100,GL,4/23/2020,71,60.72,-46.03,39.31,4.97
Poum,100,NC,4/23/2020,79,-20.23,164.02,77.31,17.16
Araouane,89,ML,4/23/2020,10,18.9,-3.53,93.83,10.89
Flin Flon,40,CA,4/23/2020,42,54.77,-101.86,44.6,4.7
Kousséri,3,CM,4/23/2020,38,12.08,15.03,93.2,11.41
Alihe,80,CN,4/23/2020,80,50.57,123.72,29.75,3.36
Chokurdakh,11,RU,4/23/2020,95,70.63,147.92,10.72,3.13
Dauphin,92,CA,4/23/2020,59,51.15,-100.05,50.61,9.22
Saint Paul Harbor,90,US,4/23/2020,93,57.79,-152.41,42.8,13.87
Sobolevo,100,RU,4/23/2020,73,54.43,31.9,43.59,5.26
Cabo San Lucas,5,MX,4/23/2020,20,22.89,-109.91,87.8,3.36
San Juan,0,AR,4/23/2020,27,-31.54,-68.54,76.84,16.13
Alofi,40,NU,4/23/2020,88,-19.06,-169.92,82.4,5.82
Lebu,100,CL,4/23/2020,83,-37.62,-73.65,58.59,19.39
Camargo,0,MX,4/23/2020,7,27.67,-105.17,89.78,4.52
Emmaus,90,US,4/23/2020,93,40.54,-75.5,48.99,5.82
Bluff,53,NZ,4/23/2020,88,-46.6,168.33,50,5.01
Rocha,100,UY,4/23/2020,71,-34.48,-54.33,71.1,3.13
Isla Mujeres,75,MX,4/23/2020,66,21.23,-86.73,87.8,18.34
Valença do Piauí,67,BR,4/23/2020,82,-6.41,-41.75,75.9,3.56
Fort Oglethorpe,75,US,4/23/2020,60,34.95,-85.26,70,8.05
Nioro,100,GM,4/23/2020,31,13.35,-15.75,82.69,3.8
Saint-Pierre,70,RE,4/23/2020,83,-21.34,55.48,73.4,6.93
Albany,90,US,4/23/2020,34,42.6,-73.97,50,3.51
Boguchany,87,RU,4/23/2020,74,58.38,97.45,52.45,3.36
Casas Grandes,0,MX,4/23/2020,8,30.37,-107.95,85.64,14.12
Biak,89,ID,4/23/2020,71,-0.91,122.88,81.03,2.51
Vardø,90,NO,4/23/2020,92,70.37,31.11,30.2,25.28
George Town,20,MY,4/23/2020,94,5.41,100.34,80.6,2.24
Castro,0,BR,4/23/2020,59,-24.79,-50.01,63.84,2.37
Changji,0,CN,4/23/2020,6,44.02,87.32,75.2,26.84
Pangai,20,TO,4/23/2020,88,-19.8,-174.35,78.8,2.24
Alta Floresta,40,BR,4/23/2020,70,-9.88,-56.09,87.8,8.05
Tiksi,17,RU,4/23/2020,94,71.69,128.87,16.36,5.88
Lompoc,1,US,4/23/2020,39,34.64,-120.46,82.4,12.75
Kruisfontein,99,ZA,4/23/2020,82,-34,24.73,59.31,6.67
Comodoro Rivadavia,75,AR,4/23/2020,87,-45.87,-67.5,51.8,4.7
Saint-Joseph,68,RE,4/23/2020,83,-21.37,55.62,73.4,6.93
Touros,40,BR,4/23/2020,94,-5.2,-35.46,78.8,4.7
Busselton,100,AU,4/23/2020,80,-33.65,115.33,61,12.17
Atuona,1,PF,4/23/2020,72,-9.8,-139.03,81.55,13.67
Cape Town,13,ZA,4/23/2020,68,-33.93,18.42,66.2,17.22
Taltal,5,CL,4/23/2020,65,-25.4,-70.48,66.4,6.35
Kyra,100,RU,4/23/2020,47,49.58,111.98,33.82,1.97
Morondava,0,MG,4/23/2020,77,-20.28,44.28,77.4,3.94
Manutuke,100,NZ,4/23/2020,90,-38.68,177.92,51.01,3
Tūkrah,31,LY,4/23/2020,76,32.53,20.58,60.33,3.47
Nichinan,0,JP,4/23/2020,70,31.6,131.37,44.01,3
Pangnirtung,90,CA,4/23/2020,59,66.15,-65.71,37.4,20.8
