City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ponta Delgada,20,PT,1584214889,72,37.73,-25.67,60.8,13.87
Rikitea,0,PF,1584214891,80,-23.12,-134.97,77.67,13.69
Lebu,0,CL,1584214893,54,-37.62,-73.65,62.87,13.24
Korla,100,CN,1584214895,59,41.76,86.15,39.99,1.57
Isangel,75,VU,1584214897,78,-19.55,169.27,82.4,12.75
George Town,20,MY,1584214899,88,5.41,100.34,82.4,3.62
Hermanus,53,ZA,1584214882,87,-34.42,19.23,64.99,13.4
New Norfolk,75,AU,1584214904,81,-42.78,147.06,52.0,5.82
Noumea,98,NC,1584214900,100,-22.28,166.46,81.0,2.24
Punta Arenas,75,CL,1584214908,51,-53.15,-70.92,60.8,31.09
Bluefield,90,US,1584214910,35,37.27,-81.22,57.99,5.82
Ambilobe,100,MG,1584214912,85,-13.2,49.05,81.45,14.74
Natal,40,BR,1584214767,70,-5.79,-35.21,86.0,10.29
Muisne,75,EC,1584214917,83,0.6,-80.03,82.4,5.82
Hong Kong,40,HK,1584214919,56,22.29,114.16,69.8,8.05
Anloga,20,GH,1584214921,88,5.79,0.9,82.4,10.29
Bontang,100,ID,1584214669,78,0.13,117.5,78.39,10.04
Petra,92,JO,1584214925,92,30.32,35.48,48.15,1.86
Zacualpan,5,MX,1584214928,37,21.25,-105.17,86.0,6.31
Bredasdorp,67,ZA,1584214930,72,-34.53,20.04,68.0,8.05
Mataura,100,NZ,1584214932,87,-46.19,168.86,52.0,1.01
Kapaa,20,US,1584214934,64,22.08,-159.32,75.2,4.7
Bluff,100,NZ,1584214936,87,-46.6,168.33,52.0,1.01
Atuona,15,PF,1584214939,78,-9.8,-139.03,81.41,13.2
Ambon City,40,ID,1584214941,88,-3.7,128.18,78.8,8.05
Kiryat Gat,40,IL,1584214921,87,31.61,34.76,60.8,5.82
Saint George,75,US,1584214761,58,37.1,-113.58,61.0,13.87
Broken Hill,4,AU,1584214947,54,-31.95,141.43,53.6,13.87
Nouadhibou,0,MR,1584214949,73,20.93,-17.03,69.8,19.46
Souillac,40,MU,1584214750,94,-20.52,57.52,77.0,1.12
Saskylakh,95,RU,1584214953,95,71.92,114.08,1.35,10.71
Cape Town,40,ZA,1584214814,77,-33.93,18.42,70.0,16.11
